r_p,wavelength,abs_sigma
1.14141e-08,5.43624e-07,1.43291e-16
1.14141e-08,5.4e-07,1.5404e-16
1.14141e-08,5.36424e-07,1.64866e-16
1.14141e-08,5.32895e-07,1.75715e-16
1.14141e-08,5.29412e-07,1.86468e-16
1.14141e-08,5.25974e-07,1.96928e-16
1.14141e-08,5.22581e-07,2.0682e-16
1.14141e-08,5.19231e-07,2.15812e-16
1.14141e-08,5.15924e-07,2.2354e-16
1.14141e-08,5.12658e-07,2.29646e-16
1.14141e-08,5.09434e-07,2.3382e-16
1.14141e-08,5.0625e-07,2.35841e-16
1.14141e-08,5.03106e-07,2.35606e-16
1.14141e-08,5e-07,2.33155e-16
1.14141e-08,4.96933e-07,2.28675e-16
1.14141e-08,4.93902e-07,2.22487e-16
1.14141e-08,4.90909e-07,2.15021e-16
1.14141e-08,4.87952e-07,2.06776e-16
1.14141e-08,4.8503e-07,1.98273e-16
1.14141e-08,4.82143e-07,1.90006e-16
1.14141e-08,4.7929e-07,1.82397e-16
1.14141e-08,4.76471e-07,1.7576e-16
1.14141e-08,4.73684e-07,1.70285e-16
1.14141e-08,4.7093e-07,1.66026e-16
1.14141e-08,4.68208e-07,1.62917e-16
1.14141e-08,4.65517e-07,1.60793e-16
1.14141e-08,4.62857e-07,1.59428e-16
1.14141e-08,4.60227e-07,1.58572e-16
1.14141e-08,4.57627e-07,1.57988e-16
1.14141e-08,4.55056e-07,1.57487e-16
1.14141e-08,4.52514e-07,1.56947e-16
1.14141e-08,4.5e-07,1.56323e-16
1.21212e-08,1e-06,1.19923e-18
1.21212e-08,9.87805e-07,1.29001e-18
1.21212e-08,9.75904e-07,1.3178e-18
1.21212e-08,9.64286e-07,1.28454e-18
1.21212e-08,9.52941e-07,1.20962e-18
1.21212e-08,9.4186e-07,1.12394e-18
1.21212e-08,9.31034e-07,1.06098e-18
1.21212e-08,9.20455e-07,1.04771e-18
1.21212e-08,9.10112e-07,1.0976e-18
1.21212e-08,9e-07,1.20764e-18
1.21212e-08,8.9011e-07,1.35989e-18
1.21212e-08,8.80435e-07,1.52708e-18
1.21212e-08,8.70968e-07,1.6803e-18
1.21212e-08,8.61702e-07,1.79701e-18
1.21212e-08,8.52632e-07,1.86685e-18
1.21212e-08,8.4375e-07,1.89406e-18
1.21212e-08,8.35052e-07,1.89597e-18
1.21212e-08,8.26531e-07,1.89809e-18
1.21212e-08,8.18182e-07,1.92736e-18
1.21212e-08,8.1e-07,2.00536e-18
1.21212e-08,8.0198e-07,2.14323e-18
1.21212e-08,7.94118e-07,2.33966e-18
1.21212e-08,7.86408e-07,2.58207e-18
1.21212e-08,7.78846e-07,2.85053e-18
1.21212e-08,7.71429e-07,3.12317e-18
1.21212e-08,7.64151e-07,3.38147e-18
1.21212e-08,7.57009e-07,3.6139e-18
1.21212e-08,7.5e-07,3.81721e-18
1.21212e-08,7.43119e-07,3.99512e-18
1.21212e-08,7.36364e-07,4.15508e-18
1.21212e-08,7.2973e-07,4.30439e-18
1.21212e-08,7.23214e-07,4.4471e-18
1.21212e-08,7.16814e-07,4.58273e-18
1.21212e-08,7.10526e-07,4.70763e-18
1.21212e-08,7.04348e-07,4.81844e-18
1.21212e-08,6.98276e-07,4.91704e-18
1.21212e-08,6.92308e-07,5.01516e-18
1.21212e-08,6.86441e-07,5.13741e-18
1.21212e-08,6.80672e-07,5.32124e-18
1.21212e-08,6.75e-07,5.61359e-18
1.21212e-08,6.69421e-07,6.06448e-18
1.21212e-08,6.63934e-07,6.71894e-18
1.21212e-08,6.58537e-07,7.60915e-18
1.21212e-08,6.53226e-07,8.74879e-18
1.21212e-08,6.48e-07,1.01312e-17
1.21212e-08,6.42857e-07,1.17323e-17
1.21212e-08,6.37795e-07,1.35179e-17
1.21212e-08,6.32813e-07,1.54537e-17
1.21212e-08,6.27907e-07,1.75169e-17
1.21212e-08,6.23077e-07,1.97052e-17
1.21212e-08,6.18321e-07,2.20428e-17
1.21212e-08,6.13636e-07,2.45805e-17
1.21212e-08,6.09023e-07,2.73907e-17
1.21212e-08,6.04478e-07,3.05577e-17
1.21212e-08,6e-07,3.41662e-17
1.21212e-08,5.95588e-07,3.82907e-17
1.21212e-08,5.91241e-07,4.29879e-17
1.21212e-08,5.86957e-07,4.8296e-17
1.21212e-08,5.82734e-07,5.42401e-17
1.21212e-08,5.78571e-07,6.08434e-17
1.21212e-08,5.74468e-07,6.81422e-17
1.21212e-08,5.70423e-07,7.62002e-17
1.21212e-08,5.66434e-07,8.51181e-17
1.21212e-08,5.625e-07,9.50348e-17
1.21212e-08,5.58621e-07,1.06116e-16
1.21212e-08,5.54795e-07,1.18534e-16
1.21212e-08,5.5102e-07,1.32431e-16
1.21212e-08,5.47297e-07,1.47882e-16
1.21212e-08,5.43624e-07,1.64853e-16
1.21212e-08,5.4e-07,1.8317e-16
1.21212e-08,5.36424e-07,2.02493e-16
1.21212e-08,5.32895e-07,2.22321e-16
1.21212e-08,5.29412e-07,2.42003e-16
1.21212e-08,5.25974e-07,2.60789e-16
1.21212e-08,5.22581e-07,2.77882e-16
1.21212e-08,5.19231e-07,2.92515e-16
1.21212e-08,5.15924e-07,3.04023e-16
1.21212e-08,5.12658e-07,3.11912e-16
1.21212e-08,5.09434e-07,3.15915e-16
1.21212e-08,5.0625e-07,3.16019e-16
1.21212e-08,5.03106e-07,3.12472e-16
1.21212e-08,5e-07,3.05753e-16
1.21212e-08,4.96933e-07,2.96528e-16
1.21212e-08,4.93902e-07,2.85576e-16
1.21212e-08,4.90909e-07,2.73713e-16
1.21212e-08,4.87952e-07,2.61716e-16
1.21212e-08,4.8503e-07,2.5025e-16
1.21212e-08,4.82143e-07,2.39822e-16
1.21212e-08,4.7929e-07,2.30753e-16
1.21212e-08,4.76471e-07,2.23175e-16
1.21212e-08,4.73684e-07,2.17056e-16
1.21212e-08,4.7093e-07,2.12234e-16
1.21212e-08,4.68208e-07,2.08471e-16
1.21212e-08,4.65517e-07,2.05503e-16
1.21212e-08,4.62857e-07,2.03089e-16
1.21212e-08,4.60227e-07,2.01044e-16
1.21212e-08,4.57627e-07,1.99261e-16
1.21212e-08,4.55056e-07,1.97707e-16
1.21212e-08,4.52514e-07,1.96416e-16
1.21212e-08,4.5e-07,1.95456e-16
1.28283e-08,1e-06,1.12151e-18
1.28283e-08,9.87805e-07,1.40456e-18
1.28283e-08,9.75904e-07,1.63633e-18
1.28283e-08,9.64286e-07,1.75849e-18
1.28283e-08,9.52941e-07,1.74645e-18
1.28283e-08,9.4186e-07,1.61587e-18
1.28283e-08,9.31034e-07,1.41745e-18
1.28283e-08,9.20455e-07,1.22191e-18
1.28283e-08,9.10112e-07,1.09964e-18
1.28283e-08,9e-07,1.1008e-18
1.28283e-08,8.9011e-07,1.24147e-18
1.28283e-08,8.80435e-07,1.49973e-18
1.28283e-08,8.70968e-07,1.82232e-18
1.28283e-08,8.61702e-07,2.14015e-18
1.28283e-08,8.52632e-07,2.38787e-18
1.28283e-08,8.4375e-07,2.52235e-18
1.28283e-08,8.35052e-07,2.53466e-18
1.28283e-08,8.26531e-07,2.45262e-18
1.28283e-08,8.18182e-07,2.33315e-18
1.28283e-08,8.1e-07,2.24682e-18
1.28283e-08,8.0198e-07,2.25873e-18
1.28283e-08,7.94118e-07,2.41103e-18
1.28283e-08,7.86408e-07,2.71184e-18
1.28283e-08,7.78846e-07,3.13319e-18
1.28283e-08,7.71429e-07,3.61861e-18
1.28283e-08,7.64151e-07,4.09803e-18
1.28283e-08,7.57009e-07,4.50581e-18
1.28283e-08,7.5e-07,4.79716e-18
1.28283e-08,7.43119e-07,4.95842e-18
1.28283e-08,7.36364e-07,5.00885e-18
1.28283e-08,7.2973e-07,4.99355e-18
1.28283e-08,7.23214e-07,4.96994e-18
1.28283e-08,7.16814e-07,4.99171e-18
1.28283e-08,7.10526e-07,5.0949e-18
1.28283e-08,7.04348e-07,5.2903e-18
1.28283e-08,6.98276e-07,5.56411e-18
1.28283e-08,6.92308e-07,5.88698e-18
1.28283e-08,6.86441e-07,6.22867e-18
1.28283e-08,6.80672e-07,6.57415e-18
1.28283e-08,6.75e-07,6.93623e-18
1.28283e-08,6.69421e-07,7.36062e-18
1.28283e-08,6.63934e-07,7.92131e-18
1.28283e-08,6.58537e-07,8.70668e-18
1.28283e-08,6.53226e-07,9.79954e-18
1.28283e-08,6.48e-07,1.12562e-17
1.28283e-08,6.42857e-07,1.309e-17
1.28283e-08,6.37795e-07,1.52659e-17
1.28283e-08,6.32813e-07,1.77062e-17
1.28283e-08,6.27907e-07,2.03111e-17
1.28283e-08,6.23077e-07,2.29877e-17
1.28283e-08,6.18321e-07,2.56836e-17
1.28283e-08,6.13636e-07,2.84159e-17
1.28283e-08,6.09023e-07,3.12899e-17
1.28283e-08,6.04478e-07,3.45008e-17
1.28283e-08,6e-07,3.83175e-17
1.28283e-08,5.95588e-07,4.30479e-17
1.28283e-08,5.91241e-07,4.89939e-17
1.28283e-08,5.86957e-07,5.6402e-17
1.28283e-08,5.82734e-07,6.54202e-17
1.28283e-08,5.78571e-07,7.60697e-17
1.28283e-08,5.74468e-07,8.82364e-17
1.28283e-08,5.70423e-07,1.01687e-16
1.28283e-08,5.66434e-07,1.16105e-16
1.28283e-08,5.625e-07,1.3114e-16
1.28283e-08,5.58621e-07,1.46463e-16
1.28283e-08,5.54795e-07,1.61814e-16
1.28283e-08,5.5102e-07,1.77036e-16
1.28283e-08,5.47297e-07,1.92083e-16
1.28283e-08,5.43624e-07,2.07003e-16
1.28283e-08,5.4e-07,2.219e-16
1.28283e-08,5.36424e-07,2.36879e-16
1.28283e-08,5.32895e-07,2.51982e-16
1.28283e-08,5.29412e-07,2.67133e-16
1.28283e-08,5.25974e-07,2.82107e-16
1.28283e-08,5.22581e-07,2.96514e-16
1.28283e-08,5.19231e-07,3.09826e-16
1.28283e-08,5.15924e-07,3.21424e-16
1.28283e-08,5.12658e-07,3.30672e-16
1.28283e-08,5.09434e-07,3.37005e-16
1.28283e-08,5.0625e-07,3.40013e-16
1.28283e-08,5.03106e-07,3.39503e-16
1.28283e-08,5e-07,3.35548e-16
1.28283e-08,4.96933e-07,3.28488e-16
1.28283e-08,4.93902e-07,3.18904e-16
1.28283e-08,4.90909e-07,3.07553e-16
1.28283e-08,4.87952e-07,2.95285e-16
1.28283e-08,4.8503e-07,2.82948e-16
1.28283e-08,4.82143e-07,2.71291e-16
1.28283e-08,4.7929e-07,2.60896e-16
1.28283e-08,4.76471e-07,2.52124e-16
1.28283e-08,4.73684e-07,2.45106e-16
1.28283e-08,4.7093e-07,2.39758e-16
