r_p,wavelength,abs_sigma
1.28283e-08,6.61111e-07,8.39992e-18
1.28283e-08,6.66667e-07,7.64296e-18
1.28283e-08,6.72222e-07,7.21867e-18
1.28283e-08,6.77778e-07,7.02748e-18
1.28283e-08,6.83333e-07,6.97041e-18
1.28283e-08,6.88889e-07,6.96048e-18
1.28283e-08,6.94444e-07,6.93046e-18
1.28283e-08,7e-07,6.83656e-18
1.28283e-08,7.05556e-07,6.65851e-18
1.28283e-08,7.11111e-07,6.39669e-18
1.28283e-08,7.16667e-07,6.06724e-18
1.28283e-08,7.22222e-07,5.69622e-18
1.28283e-08,7.27778e-07,5.3138e-18
1.28283e-08,7.33333e-07,4.94905e-18
1.28283e-08,7.38889e-07,4.62591e-18
1.28283e-08,7.44444e-07,4.36065e-18
1.28283e-08,7.5e-07,4.16073e-18
1.28283e-08,7.55556e-07,4.02492e-18
1.28283e-08,7.61111e-07,3.94457e-18
1.28283e-08,7.66667e-07,3.90548e-18
1.28283e-08,7.72222e-07,3.8902e-18
1.28283e-08,7.77778e-07,3.88036e-18
1.28283e-08,7.83333e-07,3.85881e-18
1.28283e-08,7.88889e-07,3.81134e-18
1.28283e-08,7.94444e-07,3.72788e-18
1.28283e-08,8e-07,3.60314e-18
1.28283e-08,8.05556e-07,3.43676e-18
1.28283e-08,8.11111e-07,3.23287e-18
1.28283e-08,8.16667e-07,2.9994e-18
1.28283e-08,8.22222e-07,2.74705e-18
1.28283e-08,8.27778e-07,2.48815e-18
1.28283e-08,8.33333e-07,2.23551e-18
1.28283e-08,8.38889e-07,2.00131e-18
1.28283e-08,8.44444e-07,1.79624e-18
1.28283e-08,8.5e-07,1.62867e-18
1.28283e-08,8.55556e-07,1.5043e-18
1.28283e-08,8.61111e-07,1.42582e-18
1.28283e-08,8.66667e-07,1.39296e-18
1.28283e-08,8.72222e-07,1.40271e-18
1.28283e-08,8.77778e-07,1.44963e-18
1.28283e-08,8.83333e-07,1.52641e-18
1.28283e-08,8.88889e-07,1.62443e-18
1.28283e-08,8.94444e-07,1.73434e-18
1.28283e-08,9e-07,1.84666e-18
1.28283e-08,9.05556e-07,1.95238e-18
1.28283e-08,9.11111e-07,2.04337e-18
1.28283e-08,9.16667e-07,2.11282e-18
1.28283e-08,9.22222e-07,2.15549e-18
1.28283e-08,9.27778e-07,2.16789e-18
1.28283e-08,9.33333e-07,2.14835e-18
1.28283e-08,9.38889e-07,2.09697e-18
1.28283e-08,9.44444e-07,2.01553e-18
1.28283e-08,9.5e-07,1.90728e-18
1.28283e-08,9.55556e-07,1.77665e-18
1.28283e-08,9.61111e-07,1.62905e-18
1.28283e-08,9.66667e-07,1.47048e-18
1.28283e-08,9.72222e-07,1.30728e-18
1.28283e-08,9.77778e-07,1.14579e-18
1.28283e-08,9.83333e-07,9.92094e-19
1.28283e-08,9.88889e-07,8.51775e-19
1.28283e-08,9.94444e-07,7.29709e-19
1.28283e-08,1e-06,6.29902e-19
1.35354e-08,4.5e-07,3.88541e-16
1.35354e-08,4.55556e-07,3.89443e-16
1.35354e-08,4.61111e-07,3.95471e-16
1.35354e-08,4.66667e-07,4.05294e-16
1.35354e-08,4.72222e-07,4.18669e-16
1.35354e-08,4.77778e-07,4.37964e-16
1.35354e-08,4.83333e-07,4.66676e-16
1.35354e-08,4.88889e-07,5.06124e-16
1.35354e-08,4.94444e-07,5.52985e-16
1.35354e-08,5e-07,5.99507e-16
1.35354e-08,5.05556e-07,6.36224e-16
1.35354e-08,5.11111e-07,6.55486e-16
1.35354e-08,5.16667e-07,6.53917e-16
1.35354e-08,5.22222e-07,6.32843e-16
1.35354e-08,5.27778e-07,5.96931e-16
