r_p,wavelength,scat_sigma
4.08081e-08,4.87911e-07,1.7441e-15
4.08081e-08,4.86272e-07,1.74016e-15
4.08081e-08,4.84644e-07,1.74156e-15
4.08081e-08,4.83028e-07,1.74782e-15
4.08081e-08,4.81421e-07,1.75851e-15
4.08081e-08,4.79826e-07,1.77325e-15
4.08081e-08,4.78241e-07,1.7917e-15
4.08081e-08,4.76667e-07,1.81357e-15
4.08081e-08,4.75103e-07,1.83859e-15
4.08081e-08,4.73549e-07,1.86653e-15
4.08081e-08,4.72005e-07,1.89717e-15
4.08081e-08,4.70471e-07,1.93033e-15
4.08081e-08,4.68947e-07,1.96584e-15
4.08081e-08,4.67433e-07,2.00355e-15
4.08081e-08,4.65929e-07,2.04333e-15
4.08081e-08,4.64435e-07,2.08505e-15
4.08081e-08,4.6295e-07,2.12857e-15
4.08081e-08,4.61474e-07,2.17378e-15
4.08081e-08,4.60008e-07,2.22056e-15
4.08081e-08,4.58551e-07,2.26879e-15
4.08081e-08,4.57103e-07,2.31838e-15
4.08081e-08,4.55665e-07,2.36921e-15
4.08081e-08,4.54235e-07,2.4212e-15
4.08081e-08,4.52815e-07,2.47425e-15
4.08081e-08,4.51403e-07,2.52829e-15
4.08081e-08,4.5e-07,2.58324e-15
4.16162e-08,6.5e-07,9.35287e-16
4.16162e-08,6.47095e-07,9.6616e-16
4.16162e-08,6.44216e-07,9.98736e-16
4.16162e-08,6.41362e-07,1.03286e-15
4.16162e-08,6.38534e-07,1.06833e-15
4.16162e-08,6.3573e-07,1.10493e-15
4.16162e-08,6.32951e-07,1.14259e-15
4.16162e-08,6.30196e-07,1.18136e-15
4.16162e-08,6.27465e-07,1.22148e-15
4.16162e-08,6.24757e-07,1.26335e-15
4.16162e-08,6.22073e-07,1.30745e-15
4.16162e-08,6.19412e-07,1.35425e-15
4.16162e-08,6.16773e-07,1.40412e-15
4.16162e-08,6.14157e-07,1.45728e-15
4.16162e-08,6.11563e-07,1.51374e-15
4.16162e-08,6.08991e-07,1.57337e-15
4.16162e-08,6.0644e-07,1.63593e-15
4.16162e-08,6.0391e-07,1.70124e-15
4.16162e-08,6.01402e-07,1.76924e-15
4.16162e-08,5.98914e-07,1.84012e-15
4.16162e-08,5.96447e-07,1.91432e-15
4.16162e-08,5.94e-07,1.99248e-15
4.16162e-08,5.91573e-07,2.07535e-15
4.16162e-08,5.89166e-07,2.16363e-15
4.16162e-08,5.86778e-07,2.25775e-15
4.16162e-08,5.8441e-07,2.35772e-15
4.16162e-08,5.8206e-07,2.46301e-15
4.16162e-08,5.7973e-07,2.57255e-15
4.16162e-08,5.77418e-07,2.68481e-15
4.16162e-08,5.75124e-07,2.79797e-15
4.16162e-08,5.72849e-07,2.91017e-15
4.16162e-08,5.70591e-07,3.01978e-15
4.16162e-08,5.68351e-07,3.12566e-15
4.16162e-08,5.66129e-07,3.22724e-15
4.16162e-08,5.63924e-07,3.32466e-15
4.16162e-08,5.61736e-07,3.41856e-15
4.16162e-08,5.59565e-07,3.50996e-15
4.16162e-08,5.57411e-07,3.59988e-15
4.16162e-08,5.55273e-07,3.68904e-15
4.16162e-08,5.53152e-07,3.77755e-15
4.16162e-08,5.51047e-07,3.86468e-15
4.16162e-08,5.48957e-07,3.94877e-15
4.16162e-08,5.46884e-07,4.02728e-15
4.16162e-08,5.44826e-07,4.09702e-15
4.16162e-08,5.42784e-07,4.15448e-15
4.16162e-08,5.40756e-07,4.19617e-15
4.16162e-08,5.38744e-07,4.21907e-15
4.16162e-08,5.36747e-07,4.22094e-15
4.16162e-08,5.34765e-07,4.20055e-15
4.16162e-08,5.32797e-07,4.1578e-15
4.16162e-08,5.30843e-07,4.09365e-15
4.16162e-08,5.28904e-07,4.01003e-15
4.16162e-08,5.26979e-07,3.90953e-15
4.16162e-08,5.25068e-07,3.79517e-15
4.16162e-08,5.23171e-07,3.67012e-15
4.16162e-08,5.21287e-07,3.53747e-15
4.16162e-08,5.19417e-07,3.4001e-15
4.16162e-08,5.1756e-07,3.26058e-15
4.16162e-08,5.15717e-07,3.12116e-15
4.16162e-08,5.13886e-07,2.98384e-15
4.16162e-08,5.12069e-07,2.85041e-15
4.16162e-08,5.10264e-07,2.72249e-15
4.16162e-08,5.08472e-07,2.6016e-15
4.16162e-08,5.06693e-07,2.48908e-15
4.16162e-08,5.04926e-07,2.38611e-15
4.16162e-08,5.03171e-07,2.29361e-15
4.16162e-08,5.01429e-07,2.21215e-15
4.16162e-08,4.99698e-07,2.14198e-15
4.16162e-08,4.97979e-07,2.08295e-15
4.16162e-08,4.96272e-07,2.03455e-15
4.16162e-08,4.94577e-07,1.99601e-15
4.16162e-08,4.92894e-07,1.9664e-15
4.16162e-08,4.91221e-07,1.94474e-15
4.16162e-08,4.8956e-07,1.93011e-15
4.16162e-08,4.87911e-07,1.92172e-15
4.16162e-08,4.86272e-07,1.91898e-15
4.16162e-08,4.84644e-07,1.92149e-15
4.16162e-08,4.83028e-07,1.92899e-15
4.16162e-08,4.81421e-07,1.94132e-15
4.16162e-08,4.79826e-07,1.95831e-15
4.16162e-08,4.78241e-07,1.97977e-15
4.16162e-08,4.76667e-07,2.00541e-15
4.16162e-08,4.75103e-07,2.03482e-15
4.16162e-08,4.73549e-07,2.06757e-15
4.16162e-08,4.72005e-07,2.10316e-15
4.16162e-08,4.70471e-07,2.14116e-15
4.16162e-08,4.68947e-07,2.1812e-15
4.16162e-08,4.67433e-07,2.22306e-15
4.16162e-08,4.65929e-07,2.26663e-15
4.16162e-08,4.64435e-07,2.31193e-15
4.16162e-08,4.6295e-07,2.35902e-15
4.16162e-08,4.61474e-07,2.40801e-15
4.16162e-08,4.60008e-07,2.45892e-15
4.16162e-08,4.58551e-07,2.51174e-15
4.16162e-08,4.57103e-07,2.56629e-15
4.16162e-08,4.55665e-07,2.62235e-15
4.16162e-08,4.54235e-07,2.6796e-15
4.16162e-08,4.52815e-07,2.73773e-15
4.16162e-08,4.51403e-07,2.79644e-15
4.16162e-08,4.5e-07,2.85556e-15
4.24242e-08,6.5e-07,1.01774e-15
4.24242e-08,6.47095e-07,1.05043e-15
4.24242e-08,6.44216e-07,1.08488e-15
4.24242e-08,6.41362e-07,1.12126e-15
4.24242e-08,6.38534e-07,1.15964e-15
4.24242e-08,6.3573e-07,1.19999e-15
4.24242e-08,6.32951e-07,1.24224e-15
4.24242e-08,6.30196e-07,1.28625e-15
4.24242e-08,6.27465e-07,1.33194e-15
4.24242e-08,6.24757e-07,1.37932e-15
4.24242e-08,6.22073e-07,1.42853e-15
4.24242e-08,6.19412e-07,1.47984e-15
4.24242e-08,6.16773e-07,1.53365e-15
4.24242e-08,6.14157e-07,1.59041e-15
4.24242e-08,6.11563e-07,1.6506e-15
4.24242e-08,6.08991e-07,1.71462e-15
4.24242e-08,6.0644e-07,1.78272e-15
4.24242e-08,6.0391e-07,1.85497e-15
4.24242e-08,6.01402e-07,1.93124e-15
