r_p,wavelength,abs_sigma
4.2449e-008,5.20408e-007,2.29727e-014
4.2449e-008,5.26531e-007,2.47484e-014
4.2449e-008,5.32653e-007,2.38446e-014
4.2449e-008,5.38776e-007,2.33821e-014
4.2449e-008,5.44898e-007,2.48681e-014
4.2449e-008,5.5102e-007,2.31652e-014
4.2449e-008,5.57143e-007,2.45965e-014
4.2449e-008,5.63265e-007,2.40915e-014
4.2449e-008,5.69388e-007,2.45967e-014
4.2449e-008,5.7551e-007,2.60221e-014
4.2449e-008,5.81633e-007,2.59467e-014
4.2449e-008,5.87755e-007,2.43211e-014
4.2449e-008,5.93878e-007,2.4807e-014
4.2449e-008,6e-007,2.53314e-014
4.32653e-008,3e-007,6.60995e-015
4.32653e-008,3.06122e-007,6.00862e-015
4.32653e-008,3.12245e-007,7.97065e-015
4.32653e-008,3.18367e-007,8.23472e-015
4.32653e-008,3.2449e-007,8.1405e-015
4.32653e-008,3.30612e-007,9.26966e-015
4.32653e-008,3.36735e-007,7.61433e-015
4.32653e-008,3.42857e-007,1.17159e-014
4.32653e-008,3.4898e-007,9.68257e-015
4.32653e-008,3.55102e-007,1.02673e-014
4.32653e-008,3.61224e-007,1.30893e-014
4.32653e-008,3.67347e-007,1.12014e-014
4.32653e-008,3.73469e-007,1.36325e-014
4.32653e-008,3.79592e-007,1.34948e-014
4.32653e-008,3.85714e-007,1.34244e-014
4.32653e-008,3.91837e-007,1.68231e-014
4.32653e-008,3.97959e-007,1.50242e-014
4.32653e-008,4.04082e-007,1.64111e-014
4.32653e-008,4.10204e-007,1.73047e-014
4.32653e-008,4.16327e-007,1.81383e-014
4.32653e-008,4.22449e-007,1.99489e-014
4.32653e-008,4.28571e-007,2.03931e-014
4.32653e-008,4.34694e-007,1.90704e-014
4.32653e-008,4.40816e-007,2.17075e-014
4.32653e-008,4.46939e-007,2.26818e-014
4.32653e-008,4.53061e-007,2.34247e-014
4.32653e-008,4.59184e-007,2.20882e-014
4.32653e-008,4.65306e-007,2.25405e-014
4.32653e-008,4.71429e-007,2.44376e-014
4.32653e-008,4.77551e-007,2.48017e-014
4.32653e-008,4.83673e-007,2.50174e-014
4.32653e-008,4.89796e-007,2.5984e-014
4.32653e-008,4.95918e-007,2.59214e-014
4.32653e-008,5.02041e-007,2.60804e-014
4.32653e-008,5.08163e-007,2.65831e-014
4.32653e-008,5.14286e-007,2.76299e-014
4.32653e-008,5.20408e-007,2.78067e-014
4.32653e-008,5.26531e-007,2.92836e-014
4.32653e-008,5.32653e-007,2.85429e-014
4.32653e-008,5.38776e-007,2.81527e-014
4.32653e-008,5.44898e-007,2.95206e-014
4.32653e-008,5.5102e-007,2.79331e-014
4.32653e-008,5.57143e-007,2.8857e-014
4.32653e-008,5.63265e-007,2.86712e-014
4.32653e-008,5.69388e-007,2.89363e-014
4.32653e-008,5.7551e-007,2.99065e-014
4.32653e-008,5.81633e-007,3.03773e-014
4.32653e-008,5.87755e-007,2.8821e-014
4.32653e-008,5.93878e-007,2.922e-014
4.32653e-008,6e-007,2.96691e-014
4.40816e-008,3e-007,8.30774e-015
4.40816e-008,3.06122e-007,8.27528e-015
4.40816e-008,3.12245e-007,1.00134e-014
4.40816e-008,3.18367e-007,9.63009e-015
4.40816e-008,3.2449e-007,1.05299e-014
4.40816e-008,3.30612e-007,1.14898e-014
4.40816e-008,3.36735e-007,1.02583e-014
